ResourceID,Grid ID,Grid Square Geometric Place Expression
3efa0b29-a8c4-48b5-8f69-d6a686de9500,W00N27-24,
a7478f2b-bab3-40a1-a660-69880bdabd45,W00N27-41,
f14121eb-5980-4681-ab5a-70e9a054412f,W00N27-43,
d7c9c066-9141-4db9-88a3-c55bac8f2fff,W00N27-44,
50688688-bb7b-47fd-8a38-0fa0500b7505,W05N30-12,
020e7066-6f60-486b-a489-435b0209608b,W05N30-13,
70fc3de6-1788-49f8-8966-e98a6218a3df,W05N30-14,
91c96a06-0014-4d47-b259-fcc3eebec182,W05N30-21,
0d6229e7-cde3-4be8-9189-5c6350bda722,W06N30-24,
e97a6072-eff2-40f5-bc54-5db190c39c97,E31N29-21,
42fdaf15-d70f-4240-b3aa-32d7ee217e4f,E34N25-32,
ef6f287e-d126-4acf-8ccb-8031087158c8,E31N29-23,
42bd68fc-5f59-4909-98d6-37d2aeb14be9,E31N29-24,
f046a95c-d9e8-47d5-ae53-7b4723ed7bd9,E31N29-41,
4afe30ce-9123-4032-91e0-5f3701c6b5b6,E31N29-42,
74842710-4f30-4ea6-ae65-085f3dfde64d,E31N29-43,
16936f41-4090-4923-a030-2885f4b113f8,E31N29-44,
535298e7-9b36-4c85-840d-486c9ddead1d,E31N30-21,
d57a6d92-5e71-4cf9-8c55-aeb78602f5dd,E31N30-22,
18f1114b-c9aa-4b16-b44c-a724f286e8af,E32N23-44,
fae80a00-73b9-4db9-8cf2-3128c0602254,E32N24-22,
cc1ed09e-956f-4f7d-a304-e2d48662824c,E32N24-24,
ed6982bd-8ecb-4949-bdca-79a2c4596329,E32N26-14,
bb82d521-db37-4c67-ab8c-86f37f7172e6,E32N26-23,
6163bd49-02d6-4a3f-9069-9f90ba5aa9c9,E32N26-24,
8d6f5ed5-e0b5-4e14-a0db-c6f8f6bd46b6,E32N27-44,
ba6bc8ca-c517-48af-8d69-994beca380d1,E32N28-22,
f0e38219-eff7-44a8-8973-20830678ca5f,E32N28-23,
3a22b7be-d37e-4954-a82f-7dbdb26bcae8,E32N28-24,
1efc84e6-37a3-4137-9a5c-ea6d7efa3330,E32N28-42,
6312d42b-d87c-4471-8858-ff77671784a5,E32N28-43,
57907628-b5b7-4495-9307-a5da24775f09,E32N28-44,
84df8961-d954-4160-9f49-e783e97d80ba,E32N29-13,
b94317c9-015b-4737-a8b9-a1c4994a1051,E32N29-14,
2d57d07b-959e-4a76-8d57-48a5e9dedf6c,E32N29-31,
df0087c2-d602-4233-a1aa-1a73459f58e0,E32N29-32,
d048bfed-1fa4-44c8-a289-d97d6ad585de,E32N29-33,
19c4173a-b611-475b-8b64-63b419c1a4af,E32N29-34,
d58aec62-f4a8-41cb-9e1b-0101c53d654a,E32N30-11,
c8ecf30e-9264-4c03-a6b3-fa8c283c91fd,E32N30-12,
c4d44fa2-bfc7-4c96-9abb-9de497b2e16e,E33N23-33,
ae03f492-e014-4e5f-90ae-75eae9be6a43,E33N24-11,
8a69c227-fda6-4065-ae08-3bfcaf4042ee,E33N24-12,
6129d0e7-5f94-4bc0-a92f-ad2c2d089e18,E33N24-13,
a2e2ee39-d9e4-45a8-8079-91a96977ffa0,E33N24-21,
ef3b76f9-e909-4beb-ad6b-ae7a715e2d1e,E33N24-22,
128bf035-4d6a-47d3-b5d2-85d511390bb6,E33N24-31,
